"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SORL","SORL Auto Parts, Inc.","4.46","86099947.66","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/sorl",
"SPI","SPI Energy Co., Ltd.","0.3481","25239588.1877","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/spi",
"SSLJ","SSLJ.com Limited","0.83","36520000","n/a","2018","Finance","Diversified Commercial Services","https://www.nasdaq.com/symbol/sslj",
"TANH","Tantech Holdings Ltd.","1.62","46499252.04","n/a","2015","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/tanh",
"TAOP","Taoping Inc.","1.34","54618618.42","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/taop",
"TEDU","Tarena International, Inc.","8.41","293236356.21","34867581","2014","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/tedu",
"PETZ","TDH Holdings, Inc.","1.93","18187837.5","n/a","2017","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/petz",
"NCTY","The9 Limited","1.1301","10052627.1243","8895343","2004","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ncty",
"TKKSU","TKK Symphony Acquisition Corporation","10.06","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/tkksu",
"TMSR","TMSR Holding Company Limited","3.9035","93955008.2945","n/a","2015","Finance","Business Services","https://www.nasdaq.com/symbol/tmsr",
"TOTA","Tottenham Acquisition I Limited","9.67","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/tota",
"TOTAR","Tottenham Acquisition I Limited","0.38","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/totar",
"TOTAU","Tottenham Acquisition I Limited","10.23","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/totau",
